ID,Grasp,Video,StartFrame,EndFrame,PIP,Subject,Duration,BigCategories,SmallCategories,Timestamp
8897,thumb-4 finger,074.mp4,765,793,Precision,Machinist 2,1.12,pre-prismatic,pre-prismatic,00:30.6
3349,lateral tripod,161.mp4,12712,12752,Intermediate,Housekeeper 2,1.6,int-lateral,int-lateral,08:28.5
6924,adduction,053.mp4,5537,5883,Intermediate,Machinist 2,13.84,pre-prismatic,pre-pinch,03:41.5
6067,thumb-2 finger,093.mp4,2610,2626,Precision,Machinist 1,0.64,pre-prismatic,pre-prismatic,01:44.4
4218,lateral tripod,116.mp4,13110,13217,Intermediate,Housekeeper 2,4.28,int-lateral,int-lateral,08:44.4
1853,power sphere,110.mp4,1445,1922,Power,Housekeeper 1,19.08,circular,pow-circular,00:57.8
6476,light tool,095.mp4,25625,25781,Power,Machinist 1,6.24,pow-prismatic,pow-oblique,17:05.0
8194,lateral tripod,068.mp4,9555,9600,Intermediate,Machinist 2,1.8,int-lateral,int-lateral,06:22.2
7751,small diameter,063.mp4,1540,1566,Power,Machinist 2,1.04,pow-prismatic,pow-cylindric,01:01.6
6389,tripod,095.mp4,10955,11216,Precision,Machinist 1,10.44,circular,pre-circular,07:18.2
1709,medium wrap,106.mp4,21092,21342,Power,Housekeeper 1,10.0,pow-prismatic,pow-cylindric,14:03.7
5008,power sphere,087.mp4,28375,28550,Power,Machinist 1,7.0,circular,pow-circular,0:18:55
10473,lateral pinch,017.mp4,12365,12452,Intermediate,Machinist 2,3.5,int-lateral,int-lateral,08:14.6
7101,adduction,055.mp4,1402,1453,Intermediate,Machinist 2,2.04,pre-prismatic,pre-pinch,00:56.1
9942,lateral tripod,003.mp4,5535,5624,Intermediate,Machinist 2,3.58,int-lateral,int-lateral,03:41.4
2212,medium wrap,140.mp4,3100,13440,Power,Housekeeper 2,413.6,pow-prismatic,pow-cylindric,02:04.0
6828,lateral pinch,098.mp4,15677,16054,Intermediate,Machinist 1,15.1,int-lateral,int-lateral,10:27.1
9698,thumb-3 finger,082.mp4,7734,7744,Precision,Machinist 2,0.4,pre-prismatic,pre-prismatic,05:09.4
7565,lateral tripod,060.mp4,10120,10251,Intermediate,Machinist 2,5.24,int-lateral,int-lateral,06:44.8
446,medium wrap,043.mp4,19475,19525,Power,Housekeeper 1,2.0,pow-prismatic,pow-cylindric,0:12:59
658,precision disk,044.mp4,13100,13225,Precision,Housekeeper 1,5.0,circular,pre-circular,0:08:44
6131,light tool,093.mp4,18287,18303,Power,Machinist 1,0.64,pow-prismatic,pow-oblique,12:11.5
6648,lateral tripod,096.mp4,16497,16674,Intermediate,Machinist 1,7.08,int-lateral,int-lateral,10:59.9
5337,thumb-3 finger,088.mp4,42400,42425,Precision,Machinist 1,1.0,pre-prismatic,pre-prismatic,0:28:16
1528,lateral pinch,051.mp4,30950,31064,Intermediate,Housekeeper 1,4.56,int-lateral,int-lateral,0:20:38
6510,tripod,095.mp4,32262,32343,Precision,Machinist 1,3.24,circular,pre-circular,21:30.5
9932,lateral pinch,003.mp4,4327,4344,Intermediate,Machinist 2,0.7,int-lateral,int-lateral,02:53.1
7087,ring,054.mp4,14490,14588,Power,Machinist 2,3.92,pow-prismatic,pow-cylindric,09:39.6
9013,thumb-3 finger,075.mp4,295,524,Precision,Machinist 2,9.16,pre-prismatic,pre-prismatic,00:11.8
2188,thumb-3 finger,137.mp4,9332,9417,Precision,Housekeeper 2,3.4,pre-prismatic,pre-prismatic,06:13.3
8785,lateral pinch,073.mp4,4857,4877,Intermediate,Machinist 2,0.8,int-lateral,int-lateral,03:14.3
10349,thumb-3 finger,015.mp4,12670,12695,Precision,Machinist 2,1.0,pre-prismatic,pre-prismatic,08:26.8
1515,medium wrap,051.mp4,27875,28082,Power,Housekeeper 1,8.28,pow-prismatic,pow-cylindric,0:18:35
10380,lateral pinch,016.mp4,5077,5112,Intermediate,Machinist 2,1.4,int-lateral,int-lateral,03:23.1
649,thumb-3 finger,044.mp4,11750,11950,Precision,Housekeeper 1,8.0,pre-prismatic,pre-prismatic,0:07:50
3773,precision disk,172.mp4,14340,14902,Precision,Housekeeper 2,22.48,circular,pre-circular,09:33.6
3534,index finger extension,167.mp4,830,838,Power,Housekeeper 2,0.32,pow-prismatic,pow-oblique,00:33.2
35,medium wrap,040.mp4,35125,35750,Power,Housekeeper 1,25.0,pow-prismatic,pow-cylindric,0:23:25
4968,medium wrap,087.mp4,18450,18700,Power,Machinist 1,10.0,pow-prismatic,pow-cylindric,0:12:18
10099,lateral tripod,011.mp4,12635,12695,Intermediate,Machinist 2,2.4,int-lateral,int-lateral,08:25.4
286,thumb-index finger,042.mp4,20350,20375,Precision,Housekeeper 1,1.0,pre-prismatic,pre-pinch,0:13:34
8281,thumb-3 finger,069.mp4,3065,3259,Precision,Machinist 2,7.76,pre-prismatic,pre-prismatic,02:02.6
266,medium wrap,042.mp4,15875,15975,Power,Housekeeper 1,4.0,pow-prismatic,pow-cylindric,0:10:35
9706,tripod,082.mp4,7897,7917,Precision,Machinist 2,0.8,circular,pre-circular,05:15.9
914,medium wrap,178.mp4,7200,7975,Power,Housekeeper 1,31.0,pow-prismatic,pow-cylindric,0:04:48
6361,ring,095.mp4,7437,7592,Power,Machinist 1,6.23,pow-prismatic,pow-cylindric,04:57.5
7883,ring,064.mp4,13875,13898,Power,Machinist 2,0.92,pow-prismatic,pow-cylindric,09:15.0
217,index finger extension,042.mp4,4025,4050,Power,Housekeeper 1,1.0,pow-prismatic,pow-oblique,0:02:41
575,lateral pinch,044.mp4,1600,1625,Intermediate,Housekeeper 1,1.0,int-lateral,int-lateral,0:01:04
526,thumb-3 finger,043.mp4,33575,33975,Precision,Housekeeper 1,16.0,pre-prismatic,pre-prismatic,0:22:23
4698,power sphere,086.mp4,2500,2725,Power,Machinist 1,9.0,circular,pow-circular,0:01:40
1307,sphere-3 finger,049.mp4,31325,31341,Power,Housekeeper 1,0.64,circular,pow-circular,0:20:53
6164,thumb-3 finger,093.mp4,26185,26210,Precision,Machinist 1,1.0,pre-prismatic,pre-prismatic,17:27.4
6415,tripod,095.mp4,14994,15118,Precision,Machinist 1,4.96,circular,pre-circular,09:59.8
493,thumb-2 finger,043.mp4,26550,26600,Precision,Housekeeper 1,2.0,pre-prismatic,pre-prismatic,0:17:42
9300,lateral tripod,079.mp4,2100,2135,Intermediate,Machinist 2,1.4,int-lateral,int-lateral,01:24.0
1279,medium wrap,049.mp4,17025,17302,Power,Housekeeper 1,11.08,pow-prismatic,pow-cylindric,0:11:21
8320,lateral tripod,069.mp4,6742,6764,Intermediate,Machinist 2,0.88,int-lateral,int-lateral,04:29.7
4005,medium wrap,177.mp4,360,417,Power,Housekeeper 2,2.28,pow-prismatic,pow-cylindric,00:14.4
2771,power sphere,153.mp4,3227,3279,Power,Housekeeper 2,2.08,circular,pow-circular,02:09.1
7822,lateral tripod,064.mp4,3167,3353,Intermediate,Machinist 2,7.44,int-lateral,int-lateral,02:06.7
8112,lateral tripod,068.mp4,767,795,Intermediate,Machinist 2,1.12,int-lateral,int-lateral,00:30.7
8786,tripod,073.mp4,4900,4922,Precision,Machinist 2,0.88,circular,pre-circular,03:16.0
5792,medium wrap,091.mp4,25530,25622,Power,Machinist 1,3.68,pow-prismatic,pow-cylindric,17:01.2
10015,thumb-2 finger,007.mp4,1487,1517,Precision,Machinist 2,1.22,pre-prismatic,pre-prismatic,00:59.5
6681,thumb-3 finger,096.mp4,23527,23617,Precision,Machinist 1,3.6,pre-prismatic,pre-prismatic,15:41.1
2874,power sphere,155.mp4,4490,4499,Power,Housekeeper 2,0.36,circular,pow-circular,02:59.6
925,medium wrap,178.mp4,11900,12075,Power,Housekeeper 1,7.0,pow-prismatic,pow-cylindric,0:07:56
54,medium wrap,041.mp4,3525,3750,Power,Housekeeper 1,9.0,pow-prismatic,pow-cylindric,0:02:21
1011,precision disk,047.mp4,13650,13790,Precision,Housekeeper 1,5.6,circular,pre-circular,0:09:06
8062,light tool,067.mp4,1530,1539,Power,Machinist 2,0.36,pow-prismatic,pow-oblique,01:01.2
3956,precision disk,176.mp4,7762,7791,Precision,Housekeeper 2,1.16,circular,pre-circular,05:10.5
8601,light tool,071.mp4,5745,5812,Power,Machinist 2,2.68,pow-prismatic,pow-oblique,03:49.8
4499,medium wrap,084.mp4,37325,37750,Power,Machinist 1,17.0,pow-prismatic,pow-cylindric,0:24:53
4438,tripod,084.mp4,14425,14450,Precision,Machinist 1,1.0,circular,pre-circular,0:09:37
8459,tripod,070.mp4,3107,3128,Precision,Machinist 2,0.84,circular,pre-circular,02:04.3
7666,index finger extension,062.mp4,4710,4973,Power,Machinist 2,10.52,pow-prismatic,pow-oblique,03:08.4
8527,lateral tripod,070.mp4,9437,9499,Intermediate,Machinist 2,2.48,int-lateral,int-lateral,06:17.5
6536,medium wrap,095.mp4,37332,37433,Power,Machinist 1,4.04,pow-prismatic,pow-cylindric,24:53.3
9610,lateral tripod,081.mp4,13557,13575,Intermediate,Machinist 2,0.72,int-lateral,int-lateral,09:02.3
2412,quadpod,149.mp4,5525,5667,Precision,Housekeeper 2,5.68,circular,pre-circular,03:41.0
1340,precision disk,049.mp4,41250,41509,Precision,Housekeeper 1,10.36,circular,pre-circular,0:27:30
1463,power sphere,051.mp4,16875,16902,Power,Housekeeper 1,1.08,circular,pow-circular,0:11:15
2962,precision disk,156.mp4,5582,5890,Precision,Housekeeper 2,12.33,circular,pre-circular,03:43.3
236,lateral pinch,042.mp4,8900,9000,Intermediate,Housekeeper 1,4.0,int-lateral,int-lateral,0:05:56
1070,index finger extension,047.mp4,40075,40375,Power,Housekeeper 1,12.0,pow-prismatic,pow-oblique,0:26:43
3282,precision disk,160.mp4,2815,3092,Precision,Housekeeper 2,11.08,circular,pre-circular,01:52.6
5406,lateral tripod,089.mp4,8925,9075,Intermediate,Machinist 1,6.0,int-lateral,int-lateral,0:05:57
5421,thumb-2 finger,089.mp4,12875,13000,Precision,Machinist 1,5.0,pre-prismatic,pre-prismatic,0:08:35
2335,medium wrap,145.mp4,1597,1677,Power,Housekeeper 2,3.2,pow-prismatic,pow-cylindric,01:03.9
2403,thumb-4 finger,149.mp4,4425,4520,Precision,Housekeeper 2,3.8,pre-prismatic,pre-prismatic,02:57.0
4628,light tool,085.mp4,29925,30400,Power,Machinist 1,19.0,pow-prismatic,pow-oblique,0:19:57
5860,thumb-4 finger,092.mp4,2522,2547,Precision,Machinist 1,1.0,pre-prismatic,pre-prismatic,01:40.9
6637,tripod,096.mp4,14594,14840,Precision,Machinist 1,9.84,circular,pre-circular,09:43.8
2291,thumb-3 finger,143.mp4,8585,8630,Precision,Housekeeper 2,1.8,pre-prismatic,pre-prismatic,05:43.4
4081,index finger extension,177.mp4,9145,9178,Power,Housekeeper 2,1.32,pow-prismatic,pow-oblique,06:05.8
721,medium wrap,044.mp4,32225,32250,Power,Housekeeper 1,1.0,pow-prismatic,pow-cylindric,0:21:29
3277,medium wrap,160.mp4,827,1635,Power,Housekeeper 2,32.32,pow-prismatic,pow-cylindric,00:33.1
7780,sphere-3 finger,063.mp4,4782,4828,Power,Machinist 2,1.84,circular,pow-circular,03:11.3
8271,power sphere,069.mp4,2567,2605,Power,Machinist 2,1.52,circular,pow-circular,01:42.7
1536,sphere-3 finger,051.mp4,31975,32011,Power,Housekeeper 1,1.44,circular,pow-circular,0:21:19
5654,thumb-3 finger,090.mp4,35175,35350,Precision,Machinist 1,7.0,pre-prismatic,pre-prismatic,0:23:27
248,precision disk,042.mp4,11250,11275,Precision,Housekeeper 1,1.0,circular,pre-circular,0:07:30
6867,tip pinch,099.mp4,2975,2993,Precision,Machinist 1,0.72,pre-prismatic,pre-pinch,01:59.0
4730,tripod,086.mp4,6675,6700,Precision,Machinist 1,1.0,circular,pre-circular,0:04:27
6663,thumb-3 finger,096.mp4,19280,19526,Precision,Machinist 1,9.84,pre-prismatic,pre-prismatic,12:51.2
10499,medium wrap,020.mp4,0,332,Power,Machinist 2,13.3,pow-prismatic,pow-cylindric,00:00.0
6381,thumb-2 finger,095.mp4,9642,9757,Precision,Machinist 1,4.6,pre-prismatic,pre-prismatic,06:25.7
8973,lateral tripod,074.mp4,7790,7851,Intermediate,Machinist 2,2.44,int-lateral,int-lateral,05:11.6
9332,lateral tripod,079.mp4,4915,4927,Intermediate,Machinist 2,0.48,int-lateral,int-lateral,03:16.6
8790,tip pinch,073.mp4,5050,5106,Precision,Machinist 2,2.24,pre-prismatic,pre-pinch,03:22.0
8536,index finger extension,070.mp4,10265,10324,Power,Machinist 2,2.36,pow-prismatic,pow-oblique,06:50.6
228,lateral pinch,042.mp4,6950,6975,Intermediate,Housekeeper 1,1.0,int-lateral,int-lateral,0:04:38
4946,thumb-index finger,087.mp4,14350,14375,Precision,Machinist 1,1.0,pre-prismatic,pre-pinch,0:09:34
2233,index finger extension,141.mp4,4870,5135,Power,Housekeeper 2,10.6,pow-prismatic,pow-oblique,03:14.8
4963,tripod,087.mp4,17000,17050,Precision,Machinist 1,2.0,circular,pre-circular,0:11:20
2085,medium wrap,114.mp4,3422,3444,Power,Housekeeper 1,0.88,pow-prismatic,pow-cylindric,02:16.9
10408,lateral pinch,016.mp4,11025,11110,Intermediate,Machinist 2,3.42,int-lateral,int-lateral,07:21.0
7141,light tool,055.mp4,8120,8213,Power,Machinist 2,3.72,pow-prismatic,pow-oblique,05:24.8
9074,thumb-2 finger,076.mp4,1957,2410,Precision,Machinist 2,18.12,pre-prismatic,pre-prismatic,01:18.3
4922,lateral pinch,087.mp4,2200,2300,Intermediate,Machinist 1,4.0,int-lateral,int-lateral,0:01:28
4957,power sphere,087.mp4,15575,15750,Power,Machinist 1,7.0,circular,pow-circular,0:10:23
5518,power sphere,090.mp4,1525,1875,Power,Machinist 1,14.0,circular,pow-circular,0:01:01
1405,power sphere,050.mp4,39800,39874,Power,Housekeeper 1,2.96,circular,pow-circular,0:26:32
8838,thumb-3 finger,073.mp4,9432,9755,Precision,Machinist 2,12.92,pre-prismatic,pre-prismatic,06:17.3
6498,tripod,095.mp4,30455,30656,Precision,Machinist 1,8.04,circular,pre-circular,20:18.2
5825,medium wrap,091.mp4,36067,36227,Power,Machinist 1,6.41,pow-prismatic,pow-cylindric,24:02.7
366,thumb-4 finger,043.mp4,4300,4350,Precision,Housekeeper 1,2.0,pre-prismatic,pre-prismatic,0:02:52
10053,medium wrap,010.mp4,40,50,Power,Machinist 2,0.4,pow-prismatic,pow-cylindric,00:01.6
3431,lateral tripod,164.mp4,1639,1784,Intermediate,Housekeeper 2,5.8,int-lateral,int-lateral,01:05.6
5750,lateral pinch,091.mp4,14990,15024,Intermediate,Machinist 1,1.36,int-lateral,int-lateral,09:59.6
7566,lateral tripod,060.mp4,10250,10519,Intermediate,Machinist 2,10.76,int-lateral,int-lateral,06:50.0
2744,power sphere,152.mp4,13344,13378,Power,Housekeeper 2,1.36,circular,pow-circular,08:53.8
7264,lateral tripod,057.mp4,8162,8274,Intermediate,Machinist 2,4.48,int-lateral,int-lateral,05:26.5
6114,medium wrap,093.mp4,13222,13280,Power,Machinist 1,2.32,pow-prismatic,pow-cylindric,08:48.9
4746,light tool,086.mp4,11050,11350,Power,Machinist 1,12.0,pow-prismatic,pow-oblique,0:07:22
8354,tripod,069.mp4,9532,9669,Precision,Machinist 2,5.48,circular,pre-circular,06:21.3
2828,precision disk,153.mp4,12850,12877,Precision,Housekeeper 2,1.08,circular,pre-circular,08:34.0
3056,power sphere,157.mp4,9775,9792,Power,Housekeeper 2,0.69,circular,pow-circular,06:31.0
1311,power sphere,049.mp4,31975,32039,Power,Housekeeper 1,2.56,circular,pow-circular,0:21:19
5736,power sphere,091.mp4,13044,13416,Power,Machinist 1,14.88,circular,pow-circular,08:41.8
107,power sphere,041.mp4,13325,13375,Power,Housekeeper 1,2.0,circular,pow-circular,0:08:53
6513,light tool,095.mp4,32890,32977,Power,Machinist 1,3.48,pow-prismatic,pow-oblique,21:55.6
5905,thumb-2 finger,092.mp4,12230,12367,Precision,Machinist 1,5.48,pre-prismatic,pre-prismatic,08:09.2
6405,thumb-index finger,095.mp4,13337,13354,Precision,Machinist 1,0.68,pre-prismatic,pre-pinch,08:53.5
7288,tripod,057.mp4,11107,11150,Precision,Machinist 2,1.72,circular,pre-circular,07:24.3
9032,thumb-index finger,075.mp4,3090,3105,Precision,Machinist 2,0.6,pre-prismatic,pre-pinch,02:03.6
9189,lateral pinch,078.mp4,110,197,Intermediate,Machinist 2,3.48,int-lateral,int-lateral,00:04.4
3385,tripod,162.mp4,5395,5550,Precision,Housekeeper 2,6.2,circular,pre-circular,03:35.8
7244,light tool,057.mp4,6172,6194,Power,Machinist 2,0.88,pow-prismatic,pow-oblique,04:06.9
9699,thumb-2 finger,082.mp4,7757,7768,Precision,Machinist 2,0.44,pre-prismatic,pre-prismatic,05:10.3
5314,thumb-index finger,088.mp4,38700,38725,Precision,Machinist 1,1.0,pre-prismatic,pre-pinch,0:25:48
1086,medium wrap,048.mp4,6900,6961,Power,Housekeeper 1,2.44,pow-prismatic,pow-cylindric,0:04:36
2601,power sphere,151.mp4,8032,8048,Power,Housekeeper 2,0.67,circular,pow-circular,05:21.3
2379,large diameter,149.mp4,1010,2544,Power,Housekeeper 2,61.36,pow-prismatic,pow-cylindric,00:40.4
5154,adduction,088.mp4,7725,7775,Intermediate,Machinist 1,2.0,pre-prismatic,pre-pinch,0:05:09
8762,lateral tripod,073.mp4,3429,3476,Intermediate,Machinist 2,1.88,int-lateral,int-lateral,02:17.2
9088,thumb-2 finger,076.mp4,5117,5185,Precision,Machinist 2,2.72,pre-prismatic,pre-prismatic,03:24.7
380,thumb-index finger,043.mp4,6325,6375,Precision,Housekeeper 1,2.0,pre-prismatic,pre-pinch,0:04:13
5831,ring,091.mp4,38490,38599,Power,Machinist 1,4.39,pow-prismatic,pow-cylindric,25:39.6
6269,ring,094.mp4,32287,32403,Power,Machinist 1,4.64,pow-prismatic,pow-cylindric,21:31.5
6862,thumb-index finger,099.mp4,2302,2357,Precision,Machinist 1,2.2,pre-prismatic,pre-pinch,01:32.1
6534,light tool,095.mp4,36580,36690,Power,Machinist 1,4.4,pow-prismatic,pow-oblique,24:23.2
4654,power sphere,085.mp4,34675,34700,Power,Machinist 1,1.0,circular,pow-circular,0:23:07
6932,ring,053.mp4,6215,6287,Power,Machinist 2,2.88,pow-prismatic,pow-cylindric,04:08.6
4615,light tool,085.mp4,26725,26800,Power,Machinist 1,3.0,pow-prismatic,pow-oblique,0:17:49
2300,thumb-3 finger,143.mp4,9072,9100,Precision,Housekeeper 2,1.12,pre-prismatic,pre-prismatic,06:02.9
3197,medium wrap,159.mp4,7500,7550,Power,Housekeeper 2,2.0,pow-prismatic,pow-cylindric,05:00.0
1292,precision disk,049.mp4,24725,24834,Precision,Housekeeper 1,4.36,circular,pre-circular,0:16:29
608,large diameter,044.mp4,6875,6925,Power,Housekeeper 1,2.0,pow-prismatic,pow-cylindric,0:04:35
6258,medium wrap,094.mp4,21112,21160,Power,Machinist 1,1.92,pow-prismatic,pow-cylindric,14:04.5
6013,tripod,092.mp4,34580,34661,Precision,Machinist 1,3.24,circular,pre-circular,23:03.2
4771,medium wrap,086.mp4,16650,16700,Power,Machinist 1,2.0,pow-prismatic,pow-cylindric,0:11:06
5888,large diameter,092.mp4,9090,9173,Power,Machinist 1,3.32,pow-prismatic,pow-cylindric,06:03.6
10248,medium wrap,014.mp4,3787,4347,Power,Machinist 2,22.4,pow-prismatic,pow-cylindric,02:31.5
8349,thumb-index finger,069.mp4,9230,9246,Precision,Machinist 2,0.64,pre-prismatic,pre-pinch,06:09.2
4762,thumb-2 finger,086.mp4,14700,15250,Precision,Machinist 1,22.0,pre-prismatic,pre-prismatic,0:09:48
2738,precision disk,152.mp4,10412,10588,Precision,Housekeeper 2,7.06,circular,pre-circular,06:56.5
6519,thumb-4 finger,095.mp4,33442,33516,Precision,Machinist 1,2.96,pre-prismatic,pre-prismatic,22:17.7
9128,tripod,076.mp4,11087,11272,Precision,Machinist 2,7.4,circular,pre-circular,07:23.5
792,lateral pinch,045.mp4,2475,2525,Intermediate,Housekeeper 1,2.0,int-lateral,int-lateral,0:01:39
195,thumb-2 finger,041.mp4,42525,42600,Precision,Housekeeper 1,3.0,pre-prismatic,pre-prismatic,0:28:21
1189,thumb-index finger,048.mp4,38125,38179,Precision,Housekeeper 1,2.16,pre-prismatic,pre-pinch,0:25:25
5015,tripod,087.mp4,29425,29475,Precision,Machinist 1,2.0,circular,pre-circular,0:19:37
9949,thumb-index finger,004.mp4,210,275,Precision,Machinist 2,2.6,pre-prismatic,pre-pinch,00:08.4
4363,precision disk,119.mp4,6102,6989,Precision,Housekeeper 2,35.48,circular,pre-circular,04:04.1
379,adduction,043.mp4,6200,6250,Intermediate,Housekeeper 1,2.0,pre-prismatic,pre-pinch,0:04:08
554,medium wrap,043.mp4,42250,42350,Power,Housekeeper 1,4.0,pow-prismatic,pow-cylindric,0:28:10
1807,adducted thumb,109.mp4,4950,6033,Power,Housekeeper 1,43.32,pow-prismatic,pow-oblique,03:18.0
3685,medium wrap,170.mp4,9260,9721,Power,Housekeeper 2,18.44,pow-prismatic,pow-cylindric,06:10.4
10471,thumb-index finger,017.mp4,12117,12142,Precision,Machinist 2,1.0,pre-prismatic,pre-pinch,08:04.7
4758,large diameter,086.mp4,13225,13375,Power,Machinist 1,6.0,pow-prismatic,pow-cylindric,0:08:49
7104,medium wrap,055.mp4,1720,1741,Power,Machinist 2,0.84,pow-prismatic,pow-cylindric,01:08.8
