Grasp,Object,Task,Video,TimeStamp,Subject,Duration,A,B,C,GraspedDimension,Rigidity,Roundness,Mass,CCObj,GraspSize,PIP,OppType,Shape,Type,Force,Constraint,Class,CCTask,blackRatio
lateral pinch,vacuum wires,holding,40,0:26:35,Housekeeper 1,36,7.5,0.5,0.5,b/c,squeezable,a,135,0,0.5,Intermediate,Side,prolate,cylinder,weight,uuu,hold,0,0
medium wrap,vacuum tube,holding,40,0:30:21,Housekeeper 1,10,15,4.5,4.5,b/c,rigid,a,450,0,4.5,Power,Palm,prolate,cylinder,weight,uuu,hold,0,0
index finger extension,vacuum,vacuuming,40,0:34:17,Housekeeper 1,44,15,4.5,4.5,b/c,rigid,a,1000,0,4.5,Power,Palm,prolate,cylinder,interaction,uur,use,0,0
no grasp,,,40,0:38:57,Housekeeper 1,12,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
medium wrap,vacuum wires,holding,40,0:43:49,Housekeeper 1,10,7.5,0.5,0.5,b/c,squeezable,a,135,0,0.5,Power,Palm,prolate,cylinder,weight,uuu,hold,0,0
lateral pinch,vacuum wires,holding,40,0:49:51,Housekeeper 1,7,7.5,0.5,0.5,b/c,squeezable,a,135,0,0.5,Intermediate,Side,prolate,cylinder,weight,uuu,hold,0,0
index finger extension,vacuum,vacuuming,40,0:56:00,Housekeeper 1,101,15,4.5,4.5,b/c,rigid,a,1000,0,4.5,Power,Palm,prolate,cylinder,interaction,uur,use,0,0
no grasp,,,40,1:03:50,Housekeeper 1,5,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
lateral pinch,vacuum wires,holding,40,1:11:45,Housekeeper 1,13,7.5,0.5,0.5,b/c,squeezable,a,135,0,0.5,Intermediate,Side,prolate,cylinder,weight,uuu,hold,0,0
no grasp,,,40,1:19:53,Housekeeper 1,35,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
index finger extension,vacuum,vacuuming,40,1:28:36,Housekeeper 1,25,15,4.5,4.5,b/c,rigid,a,1000,0,4.5,Power,Palm,prolate,cylinder,interaction,uur,use,0,0
no grasp,,,40,1:38:44,Housekeeper 1,8,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
adducted thumb,vacuum,holding,40,1:49:00,Housekeeper 1,8,15,4.5,4.5,b/c,rigid,a,1000,0,4.5,Power,Palm,prolate,cylinder,weight,uuu,hold,0,0
medium wrap,vacuum,vacuuming,40,1:59:24,Housekeeper 1,47,15,4.5,4.5,b/c,rigid,a,1000,0,4.5,Power,Palm,prolate,cylinder,interaction,uur,use,0,0
index finger extension,vacuum,vacuuming,40,2:11:35,Housekeeper 1,11,15,4.5,4.5,b/c,rigid,a,1000,0,4.5,Power,Palm,prolate,cylinder,interaction,uur,use,0,0
medium wrap,vacuum,vacuuming,40,2:23:57,Housekeeper 1,45,15,4.5,4.5,b/c,rigid,a,1000,0,4.5,Power,Palm,prolate,cylinder,interaction,uur,use,0,0
medium wrap,mop,holding cleaning supplies,41,0:00:06,Housekeeper 1,9,15,3.5,3.5,b/c,rigid,a,400,0,3.5,Power,Palm,prolate,cylinder,weight,uuu,hold,0,0.210526315789474
no grasp,,,41,0:00:15,Housekeeper 1,0,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
medium wrap,door handle,opening door,41,0:00:15,Housekeeper 1,1,,,,CCObj,CCObj,CCObj,,1,1,Power,Palm,CCObj,CCObj,interaction,rxx,use,0,0
no grasp,,,41,0:00:16,Housekeeper 1,0,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
adducted thumb,door handle,opening door,41,0:00:16,Housekeeper 1,2,,,,CCObj,CCObj,CCObj,,1,1,Power,Palm,CCObj,CCObj,interaction,rxx,use,0,0
no grasp,,,41,0:00:18,Housekeeper 1,10,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
medium wrap,mop,holding cleaning supplies,41,0:00:28,Housekeeper 1,6,15,3.5,3.5,b/c,rigid,a,400,0,3.5,Power,Palm,prolate,cylinder,weight,uuu,hold,0,0
no grasp,,,41,0:00:34,Housekeeper 1,16,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0.0909090909090909
medium wrap,mop,holding cleaning supplies,41,0:00:50,Housekeeper 1,14,15,3.5,3.5,b/c,rigid,a,400,0,3.5,Power,Palm,prolate,cylinder,weight,uuu,hold,0,0
thumb-2 finger,towel,holding cleaning supplies,41,0:01:04,Housekeeper 1,1,,,,floppy,floppy,floppy,250,0,,Precision,Pad,floppy,floppy,weight,uuu,hold,0,0
no grasp,,,41,0:01:05,Housekeeper 1,0,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
thumb-4 finger,mop,holding cleaning supplies,41,0:01:05,Housekeeper 1,4,15,3.5,3.5,b/c,rigid,a,400,0,3.5,Precision,Pad,prolate,cylinder,weight,uuu,hold,0,0
no grasp,,,41,0:01:09,Housekeeper 1,0,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
thumb-index finger,towel,holding cleaning supplies,41,0:01:09,Housekeeper 1,5,,,,floppy,floppy,floppy,250,0,,Precision,Pad,floppy,floppy,weight,uuu,hold,0,0
lateral pinch,towel,holding cleaning supplies,41,0:01:14,Housekeeper 1,4,,,,floppy,floppy,floppy,250,0,,Intermediate,Side,floppy,floppy,weight,uuu,hold,0,0
palmar,mop,holding cleaning supplies,41,0:01:18,Housekeeper 1,4,15,3.5,3.5,b/c,rigid,a,400,0,3.5,Power,Palm,prolate,cylinder,weight,uuu,hold,0,0
no grasp,,,41,0:05:22,Housekeeper 1,1,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
palmar,mop,holding cleaning supplies,41,0:01:23,Housekeeper 1,4,15,3.5,3.5,b/c,rigid,a,400,0,3.5,Power,Palm,prolate,cylinder,weight,uuu,hold,0,0.444444444444444
no grasp,,,41,0:01:27,Housekeeper 1,4,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0.888888888888889
medium wrap,mop,holding cleaning supplies,41,0:01:31,Housekeeper 1,14,15,3.5,3.5,b/c,rigid,a,400,0,3.5,Power,Palm,prolate,cylinder,weight,uuu,hold,0,0
no grasp,,,41,0:01:45,Housekeeper 1,0,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
power sphere,towel,holding cleaning supplies,41,0:01:45,Housekeeper 1,4,,,,floppy,floppy,floppy,250,0,,Power,Palm,floppy,floppy,weight,uuu,hold,0,0
no grasp,,,41,0:01:49,Housekeeper 1,2,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
parallel extension,scale,arranging object,41,0:01:51,Housekeeper 1,1,15,15,3.5,c,rigid,non-round,1000,0,3.5,Precision,Pad,oblate,short prism,weight,uuu,hold,0,0
no grasp,,,41,0:01:52,Housekeeper 1,1,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
extension type,rug,arranging object,41,0:01:53,Housekeeper 1,6,15,15,1,c,squeezable,non-round,650,0,1,Power,Pad,oblate,short prism,weight,uuu,hold,0,0
no grasp,,,41,0:01:59,Housekeeper 1,8,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
thumb-3 finger,towel,folding towel,41,0:02:07,Housekeeper 1,2,,,,floppy,floppy,floppy,250,0,,Precision,Pad,floppy,floppy,weight,uuu,hold,0,0
no grasp,,,41,0:02:09,Housekeeper 1,0,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
thumb-2 finger,towel,folding towel,41,0:02:09,Housekeeper 1,2,,,,floppy,floppy,floppy,250,0,,Precision,Pad,floppy,floppy,weight,uuu,hold,0,0
no grasp,,,41,0:02:11,Housekeeper 1,2,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
thumb-4 finger,towel,folding towel,41,0:02:13,Housekeeper 1,2,,,,floppy,floppy,floppy,250,0,,Precision,Pad,floppy,floppy,weight,uuu,hold,0,0
no grasp,,,41,0:02:15,Housekeeper 1,2,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0.6
power sphere,towel,folding towel,41,0:02:17,Housekeeper 1,2,,,,floppy,floppy,floppy,250,0,,Power,Palm,floppy,floppy,weight,uuu,hold,0,0
no grasp,,,41,0:02:19,Housekeeper 1,2,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
medium wrap,spray bottle,aiming bottle at surface,41,0:02:21,Housekeeper 1,9,15,6,3.5,b/c,squeezable,non-round,400,0,6,Power,Palm,bladed,irregular,weight,utt,use,0,0
no grasp,,,41,0:02:30,Housekeeper 1,1,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
thumb-2 finger,towel,folding towel,41,0:02:31,Housekeeper 1,1,,,,floppy,floppy,floppy,250,0,,Precision,Pad,floppy,floppy,weight,uuu,hold,0,0
no grasp,,,41,0:02:32,Housekeeper 1,1,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
precision disk,towel,wiping counter,41,0:02:33,Housekeeper 1,24,,,,floppy,floppy,floppy,250,0,,Precision,Pad,floppy,floppy,interaction,ttr,use,0,0
sphere-3 finger,towel,wiping counter,41,0:02:57,Housekeeper 1,1,,,,floppy,floppy,floppy,250,0,,Power,Pad,floppy,floppy,interaction,ttr,use,0,0
no grasp,,,41,0:02:58,Housekeeper 1,0,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
thumb-4 finger,plastic bottle,arranging object,41,0:02:58,Housekeeper 1,4,,,,CCObj,CCObj,CCObj,,1,6,Precision,Pad,CCObj,CCObj,weight,uuu,hold,0,0
no grasp,,,41,0:03:02,Housekeeper 1,0,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
precision disk,towel,wiping counter,41,0:03:02,Housekeeper 1,10,,,,floppy,floppy,floppy,250,0,,Precision,Pad,floppy,floppy,interaction,ttr,use,0,0
no grasp,,,41,0:03:12,Housekeeper 1,0,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
thumb-4 finger,plastic bottle,arranging object,41,0:03:12,Housekeeper 1,2,,,,CCObj,CCObj,CCObj,,1,6,Precision,Pad,CCObj,CCObj,weight,uuu,hold,0,0
no grasp,,,41,0:03:14,Housekeeper 1,1,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
thumb-index finger,faucet,turning faucet,41,0:03:15,Housekeeper 1,1,,,,CCObj,CCObj,CCObj,,1,1,Precision,Pad,CCObj,CCObj,interaction,rxx,use,0,0.666666666666667
no grasp,,,41,0:03:16,Housekeeper 1,0,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,1
power sphere,towel,wiping counter,41,0:03:16,Housekeeper 1,0,,,,floppy,floppy,floppy,250,0,,Power,Palm,floppy,floppy,interaction,ttr,use,0,1
no grasp,,,41,0:03:16,Housekeeper 1,0,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,1
medium wrap,spray bottle,aiming bottle at surface,41,0:03:16,Housekeeper 1,3,15,6,3.5,b/c,squeezable,non-round,400,0,6,Power,Palm,bladed,irregular,weight,utt,use,0,0.571428571428571
no grasp,,,41,0:03:19,Housekeeper 1,0,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
thumb-4 finger,towel,wiping counter,41,0:03:19,Housekeeper 1,0,,,,floppy,floppy,floppy,250,0,,Precision,Pad,floppy,floppy,interaction,ttr,use,0,0
precision disk,towel,wiping counter,41,0:03:19,Housekeeper 1,6,,,,floppy,floppy,floppy,250,0,,Precision,Pad,floppy,floppy,interaction,ttr,use,0,0
power sphere,towel,wiping counter,41,0:03:25,Housekeeper 1,2,,,,floppy,floppy,floppy,250,0,,Power,Palm,floppy,floppy,interaction,ttr,use,0,0
adduction,cord,opening blinds,41,0:03:27,Housekeeper 1,1,15,0.75,0.75,b/c,squeezable,a,65,0,0.75,Intermediate,Side,prolate,cylinder,interaction,uuu,use,0,0
power sphere,towel,wiping counter,41,0:03:28,Housekeeper 1,1,,,,floppy,floppy,floppy,250,0,,Power,Palm,floppy,floppy,interaction,ttr,use,0,0
precision disk,towel,wiping counter,41,0:03:29,Housekeeper 1,6,,,,floppy,floppy,floppy,250,0,,Precision,Pad,floppy,floppy,interaction,ttr,use,0,0
power sphere,towel,wiping counter,41,0:03:35,Housekeeper 1,2,,,,floppy,floppy,floppy,250,0,,Power,Palm,floppy,floppy,interaction,ttr,use,0,0
precision disk,towel,wiping counter,41,0:03:37,Housekeeper 1,17,,,,floppy,floppy,floppy,250,0,,Precision,Pad,floppy,floppy,interaction,ttr,use,0,0
no grasp,,,41,0:03:54,Housekeeper 1,0,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
thumb-4 finger,small trinket,arranging object,41,0:03:54,Housekeeper 1,1,,,,CCObj,CCObj,CCObj,,1,,Precision,Pad,CCObj,CCObj,weight,uuu,hold,0,0
no grasp,,,41,0:03:55,Housekeeper 1,0,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
thumb-4 finger,plastic bottle,arranging object,41,0:03:55,Housekeeper 1,2,,,,CCObj,CCObj,CCObj,,1,6,Precision,Pad,CCObj,CCObj,weight,uuu,hold,0,0
no grasp,,,41,0:03:57,Housekeeper 1,0,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
precision disk,towel,wiping counter,41,0:03:57,Housekeeper 1,2,,,,floppy,floppy,floppy,250,0,,Precision,Pad,floppy,floppy,interaction,ttr,use,0,0
power sphere,towel,wiping counter,41,0:03:59,Housekeeper 1,3,,,,floppy,floppy,floppy,250,0,,Power,Palm,floppy,floppy,interaction,ttr,use,0,0
precision disk,towel,wiping counter,41,0:04:02,Housekeeper 1,0,,,,floppy,floppy,floppy,250,0,,Precision,Pad,floppy,floppy,interaction,ttr,use,0,0
no grasp,,,41,0:04:02,Housekeeper 1,2,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
power sphere,towel,wiping counter,41,0:04:04,Housekeeper 1,2,,,,floppy,floppy,floppy,250,0,,Power,Palm,floppy,floppy,interaction,ttr,use,0,0
precision disk,towel,wiping counter,41,0:04:06,Housekeeper 1,1,,,,floppy,floppy,floppy,250,0,,Precision,Pad,floppy,floppy,interaction,ttr,use,0,0
power sphere,towel,wiping counter,41,0:04:07,Housekeeper 1,3,,,,floppy,floppy,floppy,250,0,,Power,Palm,floppy,floppy,interaction,ttr,use,0,0
no grasp,,,41,0:04:10,Housekeeper 1,2,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
palmar,rug,arranging object,41,0:04:12,Housekeeper 1,2,15,15,1,c,squeezable,non-round,650,0,1,Power,Palm,oblate,short prism,weight,uuu,hold,0,0
no grasp,,,41,0:04:14,Housekeeper 1,6,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
medium wrap,spray bottle,aiming bottle at work,41,0:04:20,Housekeeper 1,38,15,6,3.5,b/c,squeezable,non-round,400,0,6,Power,Palm,bladed,irregular,weight,utt,use,0,0
no grasp,,,41,0:04:58,Housekeeper 1,0,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
thumb-3 finger,aerosol can,holding cleaning supplies,41,0:04:58,Housekeeper 1,1,15,6,6,b/c,rigid,a,275,0,6,Precision,Pad,prolate,cylinder,weight,uuu,hold,0,0
medium wrap,aerosol can,aiming can at work,41,0:04:59,Housekeeper 1,5,15,6,6,b/c,rigid,a,275,0,6,Power,Palm,prolate,cylinder,weight,utt,use,0,0
no grasp,,,41,0:05:04,Housekeeper 1,2,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
power sphere,towel,wiping counter,41,0:05:06,Housekeeper 1,4,,,,floppy,floppy,floppy,250,0,,Power,Palm,floppy,floppy,interaction,ttr,use,0,0.222222222222222
no grasp,,,41,0:05:10,Housekeeper 1,0,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,1
thumb-index finger,faucet,turning faucet,41,0:05:10,Housekeeper 1,0,,,,CCObj,CCObj,CCObj,,1,1,Precision,Pad,CCObj,CCObj,interaction,rxx,use,0,1
no grasp,,,41,0:05:10,Housekeeper 1,6,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0.153846153846154
precision disk,towel,wiping counter,41,0:05:16,Housekeeper 1,1,,,,floppy,floppy,floppy,250,0,,Precision,Pad,floppy,floppy,interaction,ttr,use,0,0
power sphere,towel,wiping counter,41,0:05:17,Housekeeper 1,7,,,,floppy,floppy,floppy,250,0,,Power,Palm,floppy,floppy,interaction,ttr,use,0,0
no grasp,,,41,0:05:24,Housekeeper 1,10,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
medium wrap,spray bottle,aiming bottle at surface,41,0:05:34,Housekeeper 1,4,15,6,3.5,b/c,squeezable,non-round,400,0,6,Power,Palm,bladed,irregular,weight,utt,use,0,0
no grasp,,,41,0:05:38,Housekeeper 1,0,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
power sphere,towel,wiping hand,41,0:05:38,Housekeeper 1,2,,,,floppy,floppy,floppy,250,0,,Power,Palm,floppy,floppy,interaction,uuu,use,0,0
precision disk,towel,wiping counter,41,0:05:40,Housekeeper 1,24,,,,floppy,floppy,floppy,250,0,,Precision,Pad,floppy,floppy,interaction,ttr,use,0,0
