ID,Subject,Grasp,ADL,Video,StartFrame,EndFrame,OppType,PIP,VirtualFingers,Thumb,Duration,depthStart,depthEnd,SequenceNum
Grasp00050,subject 1,prismatic 4 finger,cooking,subject_1_gopro_seg_1.avi,10076,10134,Pad,Precision,2-5,Abd,1.93,9420,9474,0
Grasp00051,subject 1,extension type,cooking,subject_1_gopro_seg_1.avi,10146,10193,Pad,Power,2-4,Abd,1.57,9486,9533,0
Grasp00052,subject 1,lateral,cooking,subject_1_gopro_seg_1.avi,10204,10255,Side,Intermediate,2-5,Add,1.7,9540,9588,0
Grasp00053,subject 1,adducted thumb,cooking,subject_1_gopro_seg_1.avi,10267,10354,Palm,Power,2-5,Add,2.9,9600,9672,0
Grasp00054,subject 1,prismatic 4 finger,cooking,subject_1_gopro_seg_1.avi,10377,10408,Pad,Precision,2-5,Abd,1.03,9687,9710,0
Grasp00055,subject 1,prismatic 3 finger,cooking,subject_1_gopro_seg_1.avi,10416,10543,Pad,Precision,2-4,Abd,4.23,9718,9824,0
Grasp00056,subject 1,palmar pinch,cooking,subject_1_gopro_seg_1.avi,10888,10931,Pad,Precision,2,Abd,1.43,10153,10196,0
Grasp00057,subject 1,prismatic 3 finger,cooking,subject_1_gopro_seg_1.avi,10958,11026,Pad,Precision,2-4,Abd,2.27,10215,10281,0
Grasp00058,subject 1,prismatic 4 finger,cooking,subject_1_gopro_seg_1.avi,11163,11184,Pad,Precision,2-5,Abd,0.7,10405,10424,0
Grasp00059,subject 1,index finger extension,cooking,subject_1_gopro_seg_1.avi,11185,11475,Palm,Power,3-5,Add,9.67,10425,10681,1
Grasp00060,subject 1,quadpod,cooking,subject_1_gopro_seg_1.avi,11688,11782,Pad,Precision,2-4,Abd,3.13,10888,10981,0
Grasp00061,subject 1,large diameter,cooking,subject_1_gopro_seg_1.avi,11892,12115,Palm,Power,2-5,Abd,7.43,11082,11247,0
Grasp00062,subject 1,extension type,cooking,subject_1_gopro_seg_1.avi,12125,12181,Pad,Power,2-4,Abd,1.87,11257,11306,0
Grasp00063,subject 1,sphere 3 finger,cooking,subject_1_gopro_seg_1.avi,12209,12391,Pad,Power,2-3,Abd,6.07,11327,11504,0
Grasp00064,subject 1,inferior pincer,cooking,subject_1_gopro_seg_1.avi,12403,12425,Pad,Precision,2,Abd,0.73,11514,11536,0
Grasp00065,subject 1,lateral,cooking,subject_1_gopro_seg_1.avi,12451,12503,Side,Intermediate,2-5,Add,1.73,11559,11611,0
Grasp00066,subject 1,quadpod,cooking,subject_1_gopro_seg_1.avi,12528,12580,Pad,Precision,2-4,Abd,1.73,11636,11679,0
Grasp00067,subject 1,inferior pincer,cooking,subject_1_gopro_seg_1.avi,12585,12605,Pad,Precision,2,Abd,0.67,11684,11704,0
Grasp00068,subject 1,sphere 4 finger,cooking,subject_1_gopro_seg_1.avi,12606,12718,Pad,Power,2,Abd,3.73,11705,11813,1
Grasp00069,subject 1,inferior pincer,cooking,subject_1_gopro_seg_1.avi,12729,12747,Pad,Precision,2,Abd,0.6,11824,11842,0
Grasp00070,subject 1,sphere 4 finger,cooking,subject_1_gopro_seg_1.avi,12748,12859,Pad,Power,2,Abd,3.7,11843,11948,1
Grasp00071,subject 1,inferior pincer,cooking,subject_1_gopro_seg_1.avi,12869,12886,Pad,Precision,2,Abd,0.57,11958,11975,0
Grasp00072,subject 1,sphere 4 finger,cooking,subject_1_gopro_seg_1.avi,12887,12989,Pad,Power,2,Abd,3.4,11976,12066,1
Grasp00073,subject 1,inferior pincer,cooking,subject_1_gopro_seg_1.avi,12998,13013,Pad,Precision,2,Abd,0.5,12075,12090,0
Grasp00074,subject 1,sphere 4 finger,cooking,subject_1_gopro_seg_1.avi,13014,13107,Pad,Power,2,Abd,3.1,12091,12175,1
Grasp00075,subject 1,inferior pincer,cooking,subject_1_gopro_seg_1.avi,13144,13165,Pad,Precision,2,Abd,0.7,12208,12229,0
Grasp00076,subject 1,sphere 4 finger,cooking,subject_1_gopro_seg_1.avi,13166,13230,Pad,Power,2,Abd,2.13,12230,12289,1
Grasp00077,subject 1,inferior pincer,cooking,subject_1_gopro_seg_1.avi,13233,13263,Pad,Precision,2,Abd,1,12292,12322,0
Grasp00078,subject 1,sphere 4 finger,cooking,subject_1_gopro_seg_1.avi,13264,13356,Pad,Power,2,Abd,3.07,12323,12406,1
Grasp00079,subject 1,prismatic 4 finger,cooking,subject_1_gopro_seg_1.avi,13579,13596,Pad,Precision,2-5,Abd,0.57,12624,12641,0
Grasp00080,subject 1,index finger extension,cooking,subject_1_gopro_seg_1.avi,13597,14336,Palm,Power,3-5,Add,24.63,12642,13334,1
Grasp00081,subject 1,power disk,cooking,subject_1_gopro_seg_1.avi,14364,14415,Palm,Power,2-5,Abd,1.7,13360,13410,0
Grasp00082,subject 1,prismatic 2 finger,cooking,subject_1_gopro_seg_1.avi,14429,14436,Pad,Precision,2-3,Abd,0.23,13420,13428,0
Grasp00083,subject 1,writing tripod,cooking,subject_1_gopro_seg_1.avi,14437,14670,Side,Precision,3,Abd,7.77,13429,13656,1
Grasp00084,subject 1,quadpod,cooking,subject_1_gopro_seg_1.avi,14684,14765,Pad,Precision,2-4,Abd,2.7,13670,13746,0
Grasp00085,subject 1,prismatic 2 finger,cooking,subject_1_gopro_seg_1.avi,14778,14790,Pad,Precision,2-3,Abd,0.4,13757,13769,0
Grasp00086,subject 1,index finger extension,cooking,subject_1_gopro_seg_1.avi,14791,15357,Palm,Power,3-5,Add,18.87,13770,14294,1
Grasp00087,subject 1,medium wrap,cooking,subject_1_gopro_seg_1.avi,15517,15580,Palm,Power,2-5,Abd,2.1,14451,14514,0
Grasp00088,subject 1,quadpod,cooking,subject_1_gopro_seg_1.avi,15668,16385,Pad,Precision,2-4,Abd,23.9,14595,15305,0
Grasp00089,subject 1,prismatic 3 finger,cooking,subject_1_gopro_seg_1.avi,16426,16478,Pad,Precision,2-4,Abd,1.73,15337,15395,0
Grasp00090,subject 1,prismatic 3 finger,cooking,subject_1_gopro_seg_1.avi,16514,16590,Pad,Precision,2-4,Abd,2.53,15419,15495,0
Grasp00091,subject 1,lateral,cooking,subject_1_gopro_seg_1.avi,16607,16624,Side,Intermediate,2-5,Add,0.57,15508,15521,0
Grasp00092,subject 1,index finger extension,cooking,subject_1_gopro_seg_1.avi,16625,17169,Palm,Power,3-5,Add,18.13,15522,15977,1
Grasp00093,subject 1,index finger extension,cooking,subject_1_gopro_seg_1.avi,17441,17489,Palm,Power,3-5,Add,1.6,16247,16296,0
Grasp00094,subject 1,prismatic 4 finger,cooking,subject_1_gopro_seg_1.avi,17518,17629,Pad,Precision,2-5,Abd,3.7,16325,16425,0
Grasp00095,subject 1,prismatic 4 finger,cooking,subject_1_gopro_seg_2.avi,59,74,Pad,Precision,2-5,Abd,0.5,58,74,0
Grasp00096,subject 1,index finger extension,cooking,subject_1_gopro_seg_2.avi,75,603,Palm,Power,3-5,Add,17.6,75,551,1
Grasp00097,subject 1,prismatic 3 finger,cooking,subject_1_gopro_seg_2.avi,646,667,Pad,Precision,2-4,Abd,0.7,594,615,0
Grasp00098,subject 1,inferior pincer,cooking,subject_1_gopro_seg_2.avi,832,865,Pad,Precision,2,Abd,1.1,780,807,0
Grasp00099,subject 1,prismatic 4 finger,cooking,subject_1_gopro_seg_2.avi,890,905,Pad,Precision,2-5,Abd,0.5,828,843,0
Grasp00100,subject 1,adducted thumb,cooking,subject_1_gopro_seg_2.avi,906,1076,Palm,Power,2-5,Add,5.67,844,994,1
Grasp00101,subject 1,quadpod,cooking,subject_1_gopro_seg_2.avi,1095,1312,Pad,Precision,2-4,Abd,7.23,1013,1208,0
Grasp00102,subject 1,inferior pincer,cooking,subject_1_gopro_seg_2.avi,1340,1382,Pad,Precision,2,Abd,1.4,1236,1278,0
Grasp00103,subject 1,prismatic 4 finger,cooking,subject_1_gopro_seg_2.avi,1398,1411,Pad,Precision,2-5,Abd,0.43,1291,1304,0
Grasp00104,subject 1,adducted thumb,cooking,subject_1_gopro_seg_2.avi,1412,1467,Palm,Power,2-5,Add,1.83,1305,1353,1
Grasp00105,subject 1,quadpod,cooking,subject_1_gopro_seg_2.avi,1485,1702,Pad,Precision,2-4,Abd,7.23,1364,1559,0
Grasp00106,subject 1,inferior pincer,cooking,subject_1_gopro_seg_2.avi,1721,1754,Pad,Precision,2,Abd,1.1,1578,1611,0
Grasp00107,subject 1,prismatic 4 finger,cooking,subject_1_gopro_seg_2.avi,1776,1792,Pad,Precision,2-5,Abd,0.53,1631,1643,0
Grasp00108,subject 1,adducted thumb,cooking,subject_1_gopro_seg_2.avi,1793,1889,Palm,Power,2-5,Add,3.2,1644,1727,1
Grasp00109,subject 1,quadpod,cooking,subject_1_gopro_seg_2.avi,1910,2054,Pad,Precision,2-4,Abd,4.8,1742,1878,0
Grasp00110,subject 1,inferior pincer,cooking,subject_1_gopro_seg_2.avi,2071,2110,Pad,Precision,2,Abd,1.3,1893,1932,0
Grasp00111,subject 1,inferior pincer,cooking,subject_1_gopro_seg_2.avi,2135,2172,Pad,Precision,2,Abd,1.23,1953,1985,0
Grasp00112,subject 1,prismatic 4 finger,cooking,subject_1_gopro_seg_2.avi,2191,2203,Pad,Precision,2-5,Abd,0.4,1996,2008,0
Grasp00113,subject 1,adducted thumb,cooking,subject_1_gopro_seg_2.avi,2204,2278,Palm,Power,2-5,Add,2.47,2009,2074,1
Grasp00114,subject 1,prismatic 2 finger,cooking,subject_1_gopro_seg_2.avi,2293,2492,Pad,Precision,2-3,Abd,6.63,2085,2262,0
Grasp00115,subject 1,quadpod,cooking,subject_1_gopro_seg_2.avi,2530,2589,Pad,Precision,2-4,Abd,1.97,2300,2349,0
Grasp00116,subject 1,writing tripod,cooking,subject_1_gopro_seg_2.avi,2603,2947,Side,Precision,3,Abd,11.47,2359,2688,0
Grasp00117,subject 1,quadpod,cooking,subject_1_gopro_seg_2.avi,2963,3100,Pad,Precision,2-4,Abd,4.57,2697,2834,0
Grasp00118,subject 1,push,cooking,subject_1_gopro_seg_2.avi,3152,3222,NoGrip,NoGrip,NoGrip,NoGrip,2.33,2884,2954,0
Grasp00119,subject 1,lateral tripod,cooking,subject_1_gopro_seg_2.avi,3337,3365,Side,Intermediate,3,Add,0.93,3060,3085,0
Grasp00120,subject 1,large diameter,cooking,subject_1_gopro_seg_2.avi,3618,3646,Palm,Power,2-5,Abd,0.93,3338,3366,0
Grasp00121,subject 1,palmar pinch,cooking,subject_1_gopro_seg_2.avi,3673,3713,Pad,Precision,2,Abd,1.33,3393,3433,0
Grasp00122,subject 1,prismatic 2 finger,cooking,subject_1_gopro_seg_2.avi,3732,3820,Pad,Precision,2-3,Abd,2.93,3452,3540,0
Grasp00123,subject 1,prismatic 2 finger,cooking,subject_1_gopro_seg_2.avi,3909,3933,Pad,Precision,2-3,Abd,0.8,3619,3638,0
Grasp00124,subject 1,prismatic 4 finger,cooking,subject_1_gopro_seg_2.avi,3934,3999,Pad,Precision,2-5,Abd,2.17,3639,3695,1
Grasp00125,subject 1,stick,cooking,subject_1_gopro_seg_2.avi,4002,4020,Side,Intermediate,2,Add,0.6,3698,3716,2
Grasp00126,subject 1,prismatic 2 finger,cooking,subject_1_gopro_seg_2.avi,4021,4124,Pad,Precision,2-3,Abd,3.43,3717,3820,3
Grasp00127,subject 1,adducted thumb,cooking,subject_1_gopro_seg_2.avi,4159,5261,Palm,Power,2-5,Add,36.73,3850,4852,4
Grasp00128,subject 1,prismatic 4 finger,cooking,subject_1_gopro_seg_2.avi,5348,5361,Pad,Precision,2-5,Abd,0.43,4925,4938,0
Grasp00129,subject 1,small diameter,cooking,subject_1_gopro_seg_2.avi,5362,5431,Palm,Power,2-5,Abd,2.3,4939,4995,1
Grasp00130,subject 1,lateral,cooking,subject_1_gopro_seg_2.avi,5470,5519,Side,Intermediate,2-5,Add,1.63,5034,5077,0
Grasp00131,subject 1,medium wrap,cooking,subject_1_gopro_seg_2.avi,5646,5742,Palm,Power,2-5,Abd,3.2,5196,5291,0
Grasp00132,subject 1,prismatic 2 finger,cooking,subject_1_gopro_seg_2.avi,5825,5854,Pad,Precision,2-3,Abd,0.97,5360,5389,0
Grasp00133,subject 1,prismatic 2 finger,cooking,subject_1_gopro_seg_2.avi,5897,6111,Pad,Precision,2-3,Abd,7.13,5430,5610,0
Grasp00134,subject 1,prismatic 2 finger,cooking,subject_1_gopro_seg_2.avi,6149,6166,Pad,Precision,2-3,Abd,0.57,5647,5664,0
Grasp00135,subject 1,prismatic 2 finger,cooking,subject_1_gopro_seg_2.avi,6185,6394,Pad,Precision,2-3,Abd,6.97,5674,5819,0
Grasp00136,subject 1,small diameter,cooking,subject_1_gopro_seg_2.avi,6573,7532,Palm,Power,2-5,Abd,31.97,5969,6911,0
Grasp00137,subject 1,lateral tripod,cooking,subject_1_gopro_seg_2.avi,7813,7906,Side,Intermediate,3,Add,3.1,7192,7285,0
Grasp00138,subject 1,writing tripod,cooking,subject_1_gopro_seg_2.avi,7910,8331,Side,Precision,3,Abd,14.03,7289,7658,1
Grasp00139,subject 1,push,cooking,subject_1_gopro_seg_2.avi,8376,8409,NoGrip,NoGrip,NoGrip,NoGrip,1.1,7693,7722,0
Grasp00140,subject 1,large diameter,cooking,subject_1_gopro_seg_2.avi,8653,8692,Palm,Power,2-5,Abd,1.3,7965,8001,0
Grasp00141,subject 1,prismatic 2 finger,cooking,subject_1_gopro_seg_2.avi,8876,8998,Pad,Precision,2-3,Abd,4.07,8185,8307,0
Grasp00142,subject 1,prismatic 3 finger,cooking,subject_1_gopro_seg_2.avi,9238,9248,Pad,Precision,2-4,Abd,0.33,8538,8548,0
Grasp00143,subject 1,adducted thumb,cooking,subject_1_gopro_seg_2.avi,9249,9662,Palm,Power,2-5,Add,13.77,8549,8925,1
Grasp00144,subject 1,prismatic 2 finger,cooking,subject_1_gopro_seg_2.avi,9671,9707,Pad,Precision,2-3,Abd,1.2,8934,8969,2
Grasp00145,subject 1,prismatic 4 finger,cooking,subject_1_gopro_seg_2.avi,9708,9733,Pad,Precision,2-5,Abd,0.83,8970,8992,3
Grasp00146,subject 1,prismatic 2 finger,cooking,subject_1_gopro_seg_2.avi,9814,9891,Pad,Precision,2-3,Abd,2.57,9063,9138,0
Grasp00147,subject 1,lateral tripod,cooking,subject_1_gopro_seg_2.avi,10065,10115,Side,Intermediate,3,Add,1.67,9309,9359,0
Grasp00148,subject 1,push,cooking,subject_1_gopro_seg_3.avi,812,827,NoGrip,NoGrip,NoGrip,NoGrip,0.5,812,822,0
Grasp00149,subject 1,palmar pinch,cooking,subject_1_gopro_seg_3.avi,1002,1030,Pad,Precision,2,Abd,0.93,991,1019,0
Grasp00150,subject 1,writing tripod,cooking,subject_1_gopro_seg_3.avi,1049,2326,Side,Precision,3,Abd,42.57,1038,2240,1
Grasp00151,subject 1,prismatic 4 finger,cooking,subject_1_gopro_seg_3.avi,2592,2658,Pad,Precision,2-5,Abd,2.2,2496,2562,0
Grasp00152,subject 1,lateral tripod,cooking,subject_1_gopro_seg_3.avi,2667,2772,Side,Intermediate,3,Add,3.5,2571,2668,0
Grasp00153,subject 1,writing tripod,cooking,subject_1_gopro_seg_3.avi,2792,2931,Side,Precision,3,Abd,4.63,2681,2820,0
Grasp00154,subject 1,stick,cooking,subject_1_gopro_seg_3.avi,2932,3017,Side,Intermediate,2,Add,2.83,2821,2900,1
Grasp00155,subject 1,lateral tripod,cooking,subject_1_gopro_seg_3.avi,3027,3160,Side,Intermediate,3,Add,4.43,2911,3031,2
Grasp00156,subject 1,adduction grip,cooking,subject_1_gopro_seg_3.avi,3160,3187,Side,Intermediate,3,Abd,0.9,3031,3055,3
Grasp00157,subject 1,lateral,cooking,subject_1_gopro_seg_3.avi,3188,3395,Side,Intermediate,2-5,Add,6.9,3056,3246,4
Grasp00158,subject 1,lateral,cooking,subject_1_gopro_seg_3.avi,3415,3566,Side,Intermediate,2-5,Add,5.03,3266,3414,5
Grasp00159,subject 1,writing tripod,cooking,subject_1_gopro_seg_3.avi,3566,3734,Side,Precision,3,Abd,5.6,3414,3578,7
Grasp00160,subject 1,tripod,cooking,subject_1_gopro_seg_3.avi,3753,3851,Pad,Precision,2-3,Abd,3.27,3592,3668,0
Grasp00161,subject 1,precision sphere,cooking,subject_1_gopro_seg_3.avi,3854,3930,Pad,Precision,2-5,Abd,2.53,3671,3736,0
Grasp00162,subject 1,medium wrap,cooking,subject_1_gopro_seg_3.avi,3945,4106,Palm,Power,2-5,Abd,5.37,3751,3899,0
Grasp00163,subject 1,power disk,cooking,subject_1_gopro_seg_3.avi,4144,4229,Palm,Power,2-5,Abd,2.83,3935,4016,0
Grasp00164,subject 1,prismatic 2 finger,cooking,subject_1_gopro_seg_3.avi,4238,4255,Pad,Precision,2-3,Abd,0.57,4025,4042,0
Grasp00165,subject 1,prismatic 2 finger,cooking,subject_1_gopro_seg_3.avi,4260,4280,Pad,Precision,2-3,Abd,0.67,4045,4065,0
Grasp00166,subject 1,tripod,cooking,subject_1_gopro_seg_3.avi,4573,4615,Pad,Precision,2-3,Abd,1.4,4314,4355,0
Grasp00167,subject 1,medium wrap,cooking,subject_1_gopro_seg_3.avi,4747,5027,Palm,Power,2-5,Abd,9.33,4483,4745,0
Grasp00168,subject 1,lateral tripod,cooking,subject_1_gopro_seg_3.avi,5036,5194,Side,Intermediate,3,Add,5.27,4755,4887,0
Grasp00169,subject 1,writing tripod,cooking,subject_1_gopro_seg_3.avi,5200,5253,Side,Precision,3,Abd,1.77,4893,4944,0
Grasp00170,subject 1,palmar pinch,cooking,subject_1_gopro_seg_3.avi,5274,5356,Pad,Precision,2,Abd,2.73,4965,5027,0
Grasp00171,subject 1,lateral,cooking,subject_1_gopro_seg_3.avi,5490,5587,Side,Intermediate,2-5,Add,3.23,5150,5252,0
Grasp00172,subject 1,lateral tripod,cooking,subject_1_gopro_seg_3.avi,5827,5872,Side,Intermediate,3,Add,1.5,5476,5521,0
Grasp00173,subject 1,inferior pincer,cooking,subject_1_gopro_seg_3.avi,5971,6001,Pad,Precision,2,Abd,1,5618,5648,0
Grasp00174,subject 1,prismatic 3 finger,cooking,subject_1_gopro_seg_3.avi,6010,6074,Pad,Precision,2-4,Abd,2.13,5655,5705,0
Grasp00175,subject 1,prismatic 2 finger,cooking,subject_1_gopro_seg_3.avi,6081,6132,Pad,Precision,2-3,Abd,1.7,5712,5748,0
Grasp00176,subject 1,prismatic 2 finger,cooking,subject_1_gopro_seg_3.avi,6147,6250,Pad,Precision,2-3,Abd,3.43,5760,5851,0
Grasp00177,subject 1,prismatic 2 finger,cooking,subject_1_gopro_seg_3.avi,6276,6383,Pad,Precision,2-3,Abd,3.57,5874,5981,0
Grasp00178,subject 1,palmar pinch,cooking,subject_1_gopro_seg_3.avi,6399,6413,Pad,Precision,2,Abd,0.47,5998,6012,0
Grasp00179,subject 1,index finger extension,cooking,subject_1_gopro_seg_3.avi,6414,6509,Palm,Power,3-5,Add,3.17,6013,6086,1
Grasp00180,subject 1,writing tripod,cooking,subject_1_gopro_seg_3.avi,6524,6773,Side,Precision,3,Abd,8.3,6095,6281,2
Grasp00181,subject 1,index finger extension,cooking,subject_1_gopro_seg_3.avi,6778,6899,Palm,Power,3-5,Add,4.03,6286,6389,3
Grasp00182,subject 1,writing tripod,cooking,subject_1_gopro_seg_3.avi,6920,7142,Side,Precision,3,Abd,7.4,6410,6621,4
Grasp00183,subject 1,palmar pinch,cooking,subject_1_gopro_seg_3.avi,7162,7272,Pad,Precision,2,Abd,3.67,6639,6749,0
Grasp00184,subject 1,writing tripod,cooking,subject_1_gopro_seg_3.avi,7327,7527,Side,Precision,3,Abd,6.67,6793,6950,0
Grasp00185,subject 1,palmar pinch,cooking,subject_1_gopro_seg_3.avi,7539,7556,Pad,Precision,2,Abd,0.57,6959,6976,0
Grasp00186,subject 1,index finger extension,cooking,subject_1_gopro_seg_3.avi,7557,7724,Palm,Power,3-5,Add,5.57,6977,7096,1
Grasp00187,subject 1,writing tripod,cooking,subject_1_gopro_seg_3.avi,7752,8544,Side,Precision,3,Abd,26.4,7113,7851,2
Grasp00188,subject 1,palmar pinch,cooking,subject_1_gopro_seg_3.avi,8563,8649,Pad,Precision,2,Abd,2.87,7865,7951,0
Grasp00189,subject 1,palmar pinch,cooking,subject_1_gopro_seg_3.avi,8881,8917,Pad,Precision,2,Abd,1.2,8183,8219,0
Grasp00190,subject 1,palmar pinch,cooking,subject_1_gopro_seg_3.avi,8933,8955,Pad,Precision,2,Abd,0.73,8235,8257,0
