,ID,Subject,Grasp,ADL,Video,StartFrame,EndFrame,OppType,PIP,VirtualFingers,Thumb,Duration,depthStart,depthEnd,SequenceNum,BigCategories,SmallCategories
15,Grasp00016,subject 1,prismatic 4 finger,cooking,subject_1_gopro_seg_1.mp4,2021,2046,Pad,Precision,2-5,Abd,0.83,0,1,0,pre-prismatic,pre-prismatic
16,Grasp00017,subject 1,small diameter,cooking,subject_1_gopro_seg_1.mp4,2047,2149,Palm,Power,2-5,Abd,3.4,0,1,1,pow-prismatic,pow-cylindric
18,Grasp00019,subject 1,adducted thumb,cooking,subject_1_gopro_seg_1.mp4,2493,2539,Palm,Power,2-5,Add,1.53,2350,2397,0,pow-prismatic,pow-oblique
20,Grasp00021,subject 1,small diameter,cooking,subject_1_gopro_seg_1.mp4,2851,2989,Palm,Power,2-5,Abd,4.6,2691,2824,0,pow-prismatic,pow-cylindric
21,Grasp00022,subject 1,prismatic 4 finger,cooking,subject_1_gopro_seg_1.mp4,3009,3025,Pad,Precision,2-5,Abd,0.53,2844,2860,0,pre-prismatic,pre-prismatic
24,Grasp00025,subject 1,tripod,cooking,subject_1_gopro_seg_1.mp4,4046,4181,Pad,Precision,2-3,Abd,4.5,3799,3928,3,circular,pre-circular
25,Grasp00026,subject 1,tripod,cooking,subject_1_gopro_seg_1.mp4,4179,4249,Pad,Precision,2-3,Abd,2.33,3926,3990,4,circular,pre-circular
26,Grasp00027,subject 1,tripod,cooking,subject_1_gopro_seg_1.mp4,4270,4293,Pad,Precision,2-3,Abd,0.77,4011,4034,5,circular,pre-circular
27,Grasp00028,subject 1,adducted thumb,cooking,subject_1_gopro_seg_1.mp4,4293,4446,Palm,Power,2-5,Add,5.1,4034,4171,6,pow-prismatic,pow-oblique
29,Grasp00030,subject 1,prismatic 2 finger,cooking,subject_1_gopro_seg_1.mp4,5298,5343,Pad,Precision,2-3,Abd,1.5,4973,5011,8,pre-prismatic,pre-prismatic
30,Grasp00031,subject 1,palmar pinch,cooking,subject_1_gopro_seg_1.mp4,5360,5381,Pad,Precision,2,Abd,0.7,5023,5040,9,pre-prismatic,pre-pinch
31,Grasp00032,subject 1,palmar pinch,cooking,subject_1_gopro_seg_1.mp4,5397,5417,Pad,Precision,2,Abd,0.67,5056,5077,10,pre-prismatic,pre-pinch
33,Grasp00034,subject 1,sphere 3 finger,cooking,subject_1_gopro_seg_1.mp4,5665,5710,Pad,Power,2-3,Abd,1.5,5308,5353,0,circular,pow-circular
34,Grasp00035,subject 1,inferior pincer,cooking,subject_1_gopro_seg_1.mp4,5718,5834,Pad,Precision,2,Abd,3.87,5361,5466,1,pre-prismatic,pre-pinch
37,Grasp00038,subject 1,quadpod,cooking,subject_1_gopro_seg_1.mp4,6342,6544,Pad,Precision,2-4,Abd,6.73,5967,6158,0,circular,pre-circular
38,Grasp00039,subject 1,palmar pinch,cooking,subject_1_gopro_seg_1.mp4,6582,6610,Pad,Precision,2,Abd,0.93,6178,6202,0,pre-prismatic,pre-pinch
39,Grasp00040,subject 1,adducted thumb,cooking,subject_1_gopro_seg_1.mp4,6611,6680,Palm,Power,2-5,Add,2.3,6203,6256,1,pow-prismatic,pow-oblique
40,Grasp00041,subject 1,adducted thumb,cooking,subject_1_gopro_seg_1.mp4,6737,6804,Palm,Power,2-5,Add,2.23,6309,6371,0,pow-prismatic,pow-oblique
41,Grasp00042,subject 1,prismatic 3 finger,cooking,subject_1_gopro_seg_1.mp4,6814,6840,Pad,Precision,2-4,Abd,0.87,6377,6406,0,pre-prismatic,pre-prismatic
42,Grasp00043,subject 1,lateral,cooking,subject_1_gopro_seg_1.mp4,6843,7098,Side,Intermediate,2-5,Add,8.5,6409,6637,0,int-lateral,int-lateral
43,Grasp00044,subject 1,quadpod,cooking,subject_1_gopro_seg_1.mp4,7130,7176,Pad,Precision,2-4,Abd,1.53,6669,6717,0,circular,pre-circular
44,Grasp00045,subject 1,adducted thumb,cooking,subject_1_gopro_seg_1.mp4,7189,7381,Palm,Power,2-5,Add,6.4,6729,6892,0,pow-prismatic,pow-oblique
46,Grasp00047,subject 1,prismatic 4 finger,cooking,subject_1_gopro_seg_1.mp4,7658,7673,Pad,Precision,2-5,Abd,0.5,7132,7147,0,pre-prismatic,pre-prismatic
47,Grasp00048,subject 1,adducted thumb,cooking,subject_1_gopro_seg_1.mp4,7674,9943,Palm,Power,2-5,Add,75.63,7148,9295,1,pow-prismatic,pow-oblique
49,Grasp00050,subject 1,prismatic 4 finger,cooking,subject_1_gopro_seg_1.mp4,10076,10134,Pad,Precision,2-5,Abd,1.93,9420,9474,0,pre-prismatic,pre-prismatic
51,Grasp00052,subject 1,lateral,cooking,subject_1_gopro_seg_1.mp4,10204,10255,Side,Intermediate,2-5,Add,1.7,9540,9588,0,int-lateral,int-lateral
52,Grasp00053,subject 1,adducted thumb,cooking,subject_1_gopro_seg_1.mp4,10267,10354,Palm,Power,2-5,Add,2.9,9600,9672,0,pow-prismatic,pow-oblique
53,Grasp00054,subject 1,prismatic 4 finger,cooking,subject_1_gopro_seg_1.mp4,10377,10408,Pad,Precision,2-5,Abd,1.03,9687,9710,0,pre-prismatic,pre-prismatic
54,Grasp00055,subject 1,prismatic 3 finger,cooking,subject_1_gopro_seg_1.mp4,10416,10543,Pad,Precision,2-4,Abd,4.23,9718,9824,0,pre-prismatic,pre-prismatic
55,Grasp00056,subject 1,palmar pinch,cooking,subject_1_gopro_seg_1.mp4,10888,10931,Pad,Precision,2,Abd,1.43,10153,10196,0,pre-prismatic,pre-pinch
56,Grasp00057,subject 1,prismatic 3 finger,cooking,subject_1_gopro_seg_1.mp4,10958,11026,Pad,Precision,2-4,Abd,2.27,10215,10281,0,pre-prismatic,pre-prismatic
57,Grasp00058,subject 1,prismatic 4 finger,cooking,subject_1_gopro_seg_1.mp4,11163,11184,Pad,Precision,2-5,Abd,0.7,10405,10424,0,pre-prismatic,pre-prismatic
58,Grasp00059,subject 1,index finger extension,cooking,subject_1_gopro_seg_1.mp4,11185,11475,Palm,Power,3-5,Add,9.67,10425,10681,1,pow-prismatic,pow-oblique
59,Grasp00060,subject 1,quadpod,cooking,subject_1_gopro_seg_1.mp4,11688,11782,Pad,Precision,2-4,Abd,3.13,10888,10981,0,circular,pre-circular
60,Grasp00061,subject 1,large diameter,cooking,subject_1_gopro_seg_1.mp4,11892,12115,Palm,Power,2-5,Abd,7.43,11082,11247,0,pow-prismatic,pow-cylindric
62,Grasp00063,subject 1,sphere 3 finger,cooking,subject_1_gopro_seg_1.mp4,12209,12391,Pad,Power,2-3,Abd,6.07,11327,11504,0,circular,pow-circular
63,Grasp00064,subject 1,inferior pincer,cooking,subject_1_gopro_seg_1.mp4,12403,12425,Pad,Precision,2,Abd,0.73,11514,11536,0,pre-prismatic,pre-pinch
64,Grasp00065,subject 1,lateral,cooking,subject_1_gopro_seg_1.mp4,12451,12503,Side,Intermediate,2-5,Add,1.73,11559,11611,0,int-lateral,int-lateral
65,Grasp00066,subject 1,quadpod,cooking,subject_1_gopro_seg_1.mp4,12528,12580,Pad,Precision,2-4,Abd,1.73,11636,11679,0,circular,pre-circular
66,Grasp00067,subject 1,inferior pincer,cooking,subject_1_gopro_seg_1.mp4,12585,12605,Pad,Precision,2,Abd,0.67,11684,11704,0,pre-prismatic,pre-pinch
67,Grasp00068,subject 1,sphere 4 finger,cooking,subject_1_gopro_seg_1.mp4,12606,12718,Pad,Power,2,Abd,3.73,11705,11813,1,circular,pow-circular
68,Grasp00069,subject 1,inferior pincer,cooking,subject_1_gopro_seg_1.mp4,12729,12747,Pad,Precision,2,Abd,0.6,11824,11842,0,pre-prismatic,pre-pinch
69,Grasp00070,subject 1,sphere 4 finger,cooking,subject_1_gopro_seg_1.mp4,12748,12859,Pad,Power,2,Abd,3.7,11843,11948,1,circular,pow-circular
70,Grasp00071,subject 1,inferior pincer,cooking,subject_1_gopro_seg_1.mp4,12869,12886,Pad,Precision,2,Abd,0.57,11958,11975,0,pre-prismatic,pre-pinch
71,Grasp00072,subject 1,sphere 4 finger,cooking,subject_1_gopro_seg_1.mp4,12887,12989,Pad,Power,2,Abd,3.4,11976,12066,1,circular,pow-circular
72,Grasp00073,subject 1,inferior pincer,cooking,subject_1_gopro_seg_1.mp4,12998,13013,Pad,Precision,2,Abd,0.5,12075,12090,0,pre-prismatic,pre-pinch
73,Grasp00074,subject 1,sphere 4 finger,cooking,subject_1_gopro_seg_1.mp4,13014,13107,Pad,Power,2,Abd,3.1,12091,12175,1,circular,pow-circular
74,Grasp00075,subject 1,inferior pincer,cooking,subject_1_gopro_seg_1.mp4,13144,13165,Pad,Precision,2,Abd,0.7,12208,12229,0,pre-prismatic,pre-pinch
75,Grasp00076,subject 1,sphere 4 finger,cooking,subject_1_gopro_seg_1.mp4,13166,13230,Pad,Power,2,Abd,2.13,12230,12289,1,circular,pow-circular
76,Grasp00077,subject 1,inferior pincer,cooking,subject_1_gopro_seg_1.mp4,13233,13263,Pad,Precision,2,Abd,1.0,12292,12322,0,pre-prismatic,pre-pinch
77,Grasp00078,subject 1,sphere 4 finger,cooking,subject_1_gopro_seg_1.mp4,13264,13356,Pad,Power,2,Abd,3.07,12323,12406,1,circular,pow-circular
78,Grasp00079,subject 1,prismatic 4 finger,cooking,subject_1_gopro_seg_1.mp4,13579,13596,Pad,Precision,2-5,Abd,0.57,12624,12641,0,pre-prismatic,pre-prismatic
79,Grasp00080,subject 1,index finger extension,cooking,subject_1_gopro_seg_1.mp4,13597,14336,Palm,Power,3-5,Add,24.63,12642,13334,1,pow-prismatic,pow-oblique
81,Grasp00082,subject 1,prismatic 2 finger,cooking,subject_1_gopro_seg_1.mp4,14429,14436,Pad,Precision,2-3,Abd,0.23,13420,13428,0,pre-prismatic,pre-prismatic
83,Grasp00084,subject 1,quadpod,cooking,subject_1_gopro_seg_1.mp4,14684,14765,Pad,Precision,2-4,Abd,2.7,13670,13746,0,circular,pre-circular
84,Grasp00085,subject 1,prismatic 2 finger,cooking,subject_1_gopro_seg_1.mp4,14778,14790,Pad,Precision,2-3,Abd,0.4,13757,13769,0,pre-prismatic,pre-prismatic
85,Grasp00086,subject 1,index finger extension,cooking,subject_1_gopro_seg_1.mp4,14791,15357,Palm,Power,3-5,Add,18.87,13770,14294,1,pow-prismatic,pow-oblique
86,Grasp00087,subject 1,medium wrap,cooking,subject_1_gopro_seg_1.mp4,15517,15580,Palm,Power,2-5,Abd,2.1,14451,14514,0,pow-prismatic,pow-cylindric
87,Grasp00088,subject 1,quadpod,cooking,subject_1_gopro_seg_1.mp4,15668,16385,Pad,Precision,2-4,Abd,23.9,14595,15305,0,circular,pre-circular
88,Grasp00089,subject 1,prismatic 3 finger,cooking,subject_1_gopro_seg_1.mp4,16426,16478,Pad,Precision,2-4,Abd,1.73,15337,15395,0,pre-prismatic,pre-prismatic
89,Grasp00090,subject 1,prismatic 3 finger,cooking,subject_1_gopro_seg_1.mp4,16514,16590,Pad,Precision,2-4,Abd,2.53,15419,15495,0,pre-prismatic,pre-prismatic
90,Grasp00091,subject 1,lateral,cooking,subject_1_gopro_seg_1.mp4,16607,16624,Side,Intermediate,2-5,Add,0.57,15508,15521,0,int-lateral,int-lateral
91,Grasp00092,subject 1,index finger extension,cooking,subject_1_gopro_seg_1.mp4,16625,17169,Palm,Power,3-5,Add,18.13,15522,15977,1,pow-prismatic,pow-oblique
92,Grasp00093,subject 1,index finger extension,cooking,subject_1_gopro_seg_1.mp4,17441,17489,Palm,Power,3-5,Add,1.6,16247,16296,0,pow-prismatic,pow-oblique
93,Grasp00094,subject 1,prismatic 4 finger,cooking,subject_1_gopro_seg_1.mp4,17518,17629,Pad,Precision,2-5,Abd,3.7,16325,16425,0,pre-prismatic,pre-prismatic
94,Grasp00095,subject 1,prismatic 4 finger,cooking,subject_1_gopro_seg_2.mp4,59,74,Pad,Precision,2-5,Abd,0.5,58,74,0,pre-prismatic,pre-prismatic
95,Grasp00096,subject 1,index finger extension,cooking,subject_1_gopro_seg_2.mp4,75,603,Palm,Power,3-5,Add,17.6,75,551,1,pow-prismatic,pow-oblique
96,Grasp00097,subject 1,prismatic 3 finger,cooking,subject_1_gopro_seg_2.mp4,646,667,Pad,Precision,2-4,Abd,0.7,594,615,0,pre-prismatic,pre-prismatic
97,Grasp00098,subject 1,inferior pincer,cooking,subject_1_gopro_seg_2.mp4,832,865,Pad,Precision,2,Abd,1.1,780,807,0,pre-prismatic,pre-pinch
98,Grasp00099,subject 1,prismatic 4 finger,cooking,subject_1_gopro_seg_2.mp4,890,905,Pad,Precision,2-5,Abd,0.5,828,843,0,pre-prismatic,pre-prismatic
99,Grasp00100,subject 1,adducted thumb,cooking,subject_1_gopro_seg_2.mp4,906,1076,Palm,Power,2-5,Add,5.67,844,994,1,pow-prismatic,pow-oblique
100,Grasp00101,subject 1,quadpod,cooking,subject_1_gopro_seg_2.mp4,1095,1312,Pad,Precision,2-4,Abd,7.23,1013,1208,0,circular,pre-circular
101,Grasp00102,subject 1,inferior pincer,cooking,subject_1_gopro_seg_2.mp4,1340,1382,Pad,Precision,2,Abd,1.4,1236,1278,0,pre-prismatic,pre-pinch
102,Grasp00103,subject 1,prismatic 4 finger,cooking,subject_1_gopro_seg_2.mp4,1398,1411,Pad,Precision,2-5,Abd,0.43,1291,1304,0,pre-prismatic,pre-prismatic
103,Grasp00104,subject 1,adducted thumb,cooking,subject_1_gopro_seg_2.mp4,1412,1467,Palm,Power,2-5,Add,1.83,1305,1353,1,pow-prismatic,pow-oblique
104,Grasp00105,subject 1,quadpod,cooking,subject_1_gopro_seg_2.mp4,1485,1702,Pad,Precision,2-4,Abd,7.23,1364,1559,0,circular,pre-circular
105,Grasp00106,subject 1,inferior pincer,cooking,subject_1_gopro_seg_2.mp4,1721,1754,Pad,Precision,2,Abd,1.1,1578,1611,0,pre-prismatic,pre-pinch
106,Grasp00107,subject 1,prismatic 4 finger,cooking,subject_1_gopro_seg_2.mp4,1776,1792,Pad,Precision,2-5,Abd,0.53,1631,1643,0,pre-prismatic,pre-prismatic
107,Grasp00108,subject 1,adducted thumb,cooking,subject_1_gopro_seg_2.mp4,1793,1889,Palm,Power,2-5,Add,3.2,1644,1727,1,pow-prismatic,pow-oblique
108,Grasp00109,subject 1,quadpod,cooking,subject_1_gopro_seg_2.mp4,1910,2054,Pad,Precision,2-4,Abd,4.8,1742,1878,0,circular,pre-circular
109,Grasp00110,subject 1,inferior pincer,cooking,subject_1_gopro_seg_2.mp4,2071,2110,Pad,Precision,2,Abd,1.3,1893,1932,0,pre-prismatic,pre-pinch
110,Grasp00111,subject 1,inferior pincer,cooking,subject_1_gopro_seg_2.mp4,2135,2172,Pad,Precision,2,Abd,1.23,1953,1985,0,pre-prismatic,pre-pinch
111,Grasp00112,subject 1,prismatic 4 finger,cooking,subject_1_gopro_seg_2.mp4,2191,2203,Pad,Precision,2-5,Abd,0.4,1996,2008,0,pre-prismatic,pre-prismatic
112,Grasp00113,subject 1,adducted thumb,cooking,subject_1_gopro_seg_2.mp4,2204,2278,Palm,Power,2-5,Add,2.47,2009,2074,1,pow-prismatic,pow-oblique
113,Grasp00114,subject 1,prismatic 2 finger,cooking,subject_1_gopro_seg_2.mp4,2293,2492,Pad,Precision,2-3,Abd,6.63,2085,2262,0,pre-prismatic,pre-prismatic
114,Grasp00115,subject 1,quadpod,cooking,subject_1_gopro_seg_2.mp4,2530,2589,Pad,Precision,2-4,Abd,1.97,2300,2349,0,circular,pre-circular
116,Grasp00117,subject 1,quadpod,cooking,subject_1_gopro_seg_2.mp4,2963,3100,Pad,Precision,2-4,Abd,4.57,2697,2834,0,circular,pre-circular
118,Grasp00119,subject 1,lateral tripod,cooking,subject_1_gopro_seg_2.mp4,3337,3365,Side,Intermediate,3,Add,0.93,3060,3085,0,int-lateral,int-lateral
119,Grasp00120,subject 1,large diameter,cooking,subject_1_gopro_seg_2.mp4,3618,3646,Palm,Power,2-5,Abd,0.93,3338,3366,0,pow-prismatic,pow-cylindric
120,Grasp00121,subject 1,palmar pinch,cooking,subject_1_gopro_seg_2.mp4,3673,3713,Pad,Precision,2,Abd,1.33,3393,3433,0,pre-prismatic,pre-pinch
121,Grasp00122,subject 1,prismatic 2 finger,cooking,subject_1_gopro_seg_2.mp4,3732,3820,Pad,Precision,2-3,Abd,2.93,3452,3540,0,pre-prismatic,pre-prismatic
122,Grasp00123,subject 1,prismatic 2 finger,cooking,subject_1_gopro_seg_2.mp4,3909,3933,Pad,Precision,2-3,Abd,0.8,3619,3638,0,pre-prismatic,pre-prismatic
123,Grasp00124,subject 1,prismatic 4 finger,cooking,subject_1_gopro_seg_2.mp4,3934,3999,Pad,Precision,2-5,Abd,2.17,3639,3695,1,pre-prismatic,pre-prismatic
125,Grasp00126,subject 1,prismatic 2 finger,cooking,subject_1_gopro_seg_2.mp4,4021,4124,Pad,Precision,2-3,Abd,3.43,3717,3820,3,pre-prismatic,pre-prismatic
126,Grasp00127,subject 1,adducted thumb,cooking,subject_1_gopro_seg_2.mp4,4159,5261,Palm,Power,2-5,Add,36.73,3850,4852,4,pow-prismatic,pow-oblique
127,Grasp00128,subject 1,prismatic 4 finger,cooking,subject_1_gopro_seg_2.mp4,5348,5361,Pad,Precision,2-5,Abd,0.43,4925,4938,0,pre-prismatic,pre-prismatic
128,Grasp00129,subject 1,small diameter,cooking,subject_1_gopro_seg_2.mp4,5362,5431,Palm,Power,2-5,Abd,2.3,4939,4995,1,pow-prismatic,pow-cylindric
129,Grasp00130,subject 1,lateral,cooking,subject_1_gopro_seg_2.mp4,5470,5519,Side,Intermediate,2-5,Add,1.63,5034,5077,0,int-lateral,int-lateral
130,Grasp00131,subject 1,medium wrap,cooking,subject_1_gopro_seg_2.mp4,5646,5742,Palm,Power,2-5,Abd,3.2,5196,5291,0,pow-prismatic,pow-cylindric
131,Grasp00132,subject 1,prismatic 2 finger,cooking,subject_1_gopro_seg_2.mp4,5825,5854,Pad,Precision,2-3,Abd,0.97,5360,5389,0,pre-prismatic,pre-prismatic
132,Grasp00133,subject 1,prismatic 2 finger,cooking,subject_1_gopro_seg_2.mp4,5897,6111,Pad,Precision,2-3,Abd,7.13,5430,5610,0,pre-prismatic,pre-prismatic
133,Grasp00134,subject 1,prismatic 2 finger,cooking,subject_1_gopro_seg_2.mp4,6149,6166,Pad,Precision,2-3,Abd,0.57,5647,5664,0,pre-prismatic,pre-prismatic
134,Grasp00135,subject 1,prismatic 2 finger,cooking,subject_1_gopro_seg_2.mp4,6185,6394,Pad,Precision,2-3,Abd,6.97,5674,5819,0,pre-prismatic,pre-prismatic
135,Grasp00136,subject 1,small diameter,cooking,subject_1_gopro_seg_2.mp4,6573,7532,Palm,Power,2-5,Abd,31.97,5969,6911,0,pow-prismatic,pow-cylindric
136,Grasp00137,subject 1,lateral tripod,cooking,subject_1_gopro_seg_2.mp4,7813,7906,Side,Intermediate,3,Add,3.1,7192,7285,0,int-lateral,int-lateral
139,Grasp00140,subject 1,large diameter,cooking,subject_1_gopro_seg_2.mp4,8653,8692,Palm,Power,2-5,Abd,1.3,7965,8001,0,pow-prismatic,pow-cylindric
140,Grasp00141,subject 1,prismatic 2 finger,cooking,subject_1_gopro_seg_2.mp4,8876,8998,Pad,Precision,2-3,Abd,4.07,8185,8307,0,pre-prismatic,pre-prismatic
141,Grasp00142,subject 1,prismatic 3 finger,cooking,subject_1_gopro_seg_2.mp4,9238,9248,Pad,Precision,2-4,Abd,0.33,8538,8548,0,pre-prismatic,pre-prismatic
142,Grasp00143,subject 1,adducted thumb,cooking,subject_1_gopro_seg_2.mp4,9249,9662,Palm,Power,2-5,Add,13.77,8549,8925,1,pow-prismatic,pow-oblique
143,Grasp00144,subject 1,prismatic 2 finger,cooking,subject_1_gopro_seg_2.mp4,9671,9707,Pad,Precision,2-3,Abd,1.2,8934,8969,2,pre-prismatic,pre-prismatic
144,Grasp00145,subject 1,prismatic 4 finger,cooking,subject_1_gopro_seg_2.mp4,9708,9733,Pad,Precision,2-5,Abd,0.83,8970,8992,3,pre-prismatic,pre-prismatic
145,Grasp00146,subject 1,prismatic 2 finger,cooking,subject_1_gopro_seg_2.mp4,9814,9891,Pad,Precision,2-3,Abd,2.57,9063,9138,0,pre-prismatic,pre-prismatic
146,Grasp00147,subject 1,lateral tripod,cooking,subject_1_gopro_seg_2.mp4,10065,10115,Side,Intermediate,3,Add,1.67,9309,9359,0,int-lateral,int-lateral
148,Grasp00149,subject 1,palmar pinch,cooking,subject_1_gopro_seg_3.mp4,1002,1030,Pad,Precision,2,Abd,0.93,991,1019,0,pre-prismatic,pre-pinch
150,Grasp00151,subject 1,prismatic 4 finger,cooking,subject_1_gopro_seg_3.mp4,2592,2658,Pad,Precision,2-5,Abd,2.2,2496,2562,0,pre-prismatic,pre-prismatic
151,Grasp00152,subject 1,lateral tripod,cooking,subject_1_gopro_seg_3.mp4,2667,2772,Side,Intermediate,3,Add,3.5,2571,2668,0,int-lateral,int-lateral
154,Grasp00155,subject 1,lateral tripod,cooking,subject_1_gopro_seg_3.mp4,3027,3160,Side,Intermediate,3,Add,4.43,2911,3031,2,int-lateral,int-lateral
155,Grasp00156,subject 1,adduction grip,cooking,subject_1_gopro_seg_3.mp4,3160,3187,Side,Intermediate,3,Abd,0.9,3031,3055,3,pre-prismatic,pre-pinch
156,Grasp00157,subject 1,lateral,cooking,subject_1_gopro_seg_3.mp4,3188,3395,Side,Intermediate,2-5,Add,6.9,3056,3246,4,int-lateral,int-lateral
157,Grasp00158,subject 1,lateral,cooking,subject_1_gopro_seg_3.mp4,3415,3566,Side,Intermediate,2-5,Add,5.03,3266,3414,5,int-lateral,int-lateral
159,Grasp00160,subject 1,tripod,cooking,subject_1_gopro_seg_3.mp4,3753,3851,Pad,Precision,2-3,Abd,3.27,3592,3668,0,circular,pre-circular
161,Grasp00162,subject 1,medium wrap,cooking,subject_1_gopro_seg_3.mp4,3945,4106,Palm,Power,2-5,Abd,5.37,3751,3899,0,pow-prismatic,pow-cylindric
163,Grasp00164,subject 1,prismatic 2 finger,cooking,subject_1_gopro_seg_3.mp4,4238,4255,Pad,Precision,2-3,Abd,0.57,4025,4042,0,pre-prismatic,pre-prismatic
164,Grasp00165,subject 1,prismatic 2 finger,cooking,subject_1_gopro_seg_3.mp4,4260,4280,Pad,Precision,2-3,Abd,0.67,4045,4065,0,pre-prismatic,pre-prismatic
165,Grasp00166,subject 1,tripod,cooking,subject_1_gopro_seg_3.mp4,4573,4615,Pad,Precision,2-3,Abd,1.4,4314,4355,0,circular,pre-circular
166,Grasp00167,subject 1,medium wrap,cooking,subject_1_gopro_seg_3.mp4,4747,5027,Palm,Power,2-5,Abd,9.33,4483,4745,0,pow-prismatic,pow-cylindric
167,Grasp00168,subject 1,lateral tripod,cooking,subject_1_gopro_seg_3.mp4,5036,5194,Side,Intermediate,3,Add,5.27,4755,4887,0,int-lateral,int-lateral
169,Grasp00170,subject 1,palmar pinch,cooking,subject_1_gopro_seg_3.mp4,5274,5356,Pad,Precision,2,Abd,2.73,4965,5027,0,pre-prismatic,pre-pinch
170,Grasp00171,subject 1,lateral,cooking,subject_1_gopro_seg_3.mp4,5490,5587,Side,Intermediate,2-5,Add,3.23,5150,5252,0,int-lateral,int-lateral
171,Grasp00172,subject 1,lateral tripod,cooking,subject_1_gopro_seg_3.mp4,5827,5872,Side,Intermediate,3,Add,1.5,5476,5521,0,int-lateral,int-lateral
172,Grasp00173,subject 1,inferior pincer,cooking,subject_1_gopro_seg_3.mp4,5971,6001,Pad,Precision,2,Abd,1.0,5618,5648,0,pre-prismatic,pre-pinch
173,Grasp00174,subject 1,prismatic 3 finger,cooking,subject_1_gopro_seg_3.mp4,6010,6074,Pad,Precision,2-4,Abd,2.13,5655,5705,0,pre-prismatic,pre-prismatic
174,Grasp00175,subject 1,prismatic 2 finger,cooking,subject_1_gopro_seg_3.mp4,6081,6132,Pad,Precision,2-3,Abd,1.7,5712,5748,0,pre-prismatic,pre-prismatic
175,Grasp00176,subject 1,prismatic 2 finger,cooking,subject_1_gopro_seg_3.mp4,6147,6250,Pad,Precision,2-3,Abd,3.43,5760,5851,0,pre-prismatic,pre-prismatic
176,Grasp00177,subject 1,prismatic 2 finger,cooking,subject_1_gopro_seg_3.mp4,6276,6383,Pad,Precision,2-3,Abd,3.57,5874,5981,0,pre-prismatic,pre-prismatic
177,Grasp00178,subject 1,palmar pinch,cooking,subject_1_gopro_seg_3.mp4,6399,6413,Pad,Precision,2,Abd,0.47,5998,6012,0,pre-prismatic,pre-pinch
178,Grasp00179,subject 1,index finger extension,cooking,subject_1_gopro_seg_3.mp4,6414,6509,Palm,Power,3-5,Add,3.17,6013,6086,1,pow-prismatic,pow-oblique
180,Grasp00181,subject 1,index finger extension,cooking,subject_1_gopro_seg_3.mp4,6778,6899,Palm,Power,3-5,Add,4.03,6286,6389,3,pow-prismatic,pow-oblique
182,Grasp00183,subject 1,palmar pinch,cooking,subject_1_gopro_seg_3.mp4,7162,7272,Pad,Precision,2,Abd,3.67,6639,6749,0,pre-prismatic,pre-pinch
184,Grasp00185,subject 1,palmar pinch,cooking,subject_1_gopro_seg_3.mp4,7539,7556,Pad,Precision,2,Abd,0.57,6959,6976,0,pre-prismatic,pre-pinch
